Äänestysalue,Puolue,Paikkoja,Prosenttiosuus paikoista
Lappi,SDP,9,15.25
Lappi,KOK,9,15.25
Lappi,PS,4,6.78
Lappi,VIHR,2,3.39
Lappi,KD,1,1.69
Pirkanmaa,SDP,19,24.05
Pirkanmaa,Totalseats,79,100.0
Pirkanmaa,KOK,19,24.05
Pirkanmaa,VIHR,12,15.19
Pirkanmaa,KESK,9,11.39
Pirkanmaa,VAS,8,10.13
Pirkanmaa,PS,7,8.86
Pirkanmaa,KD,4,5.06
Pirkanmaa,TaPu,1,1.27
Pohjanmaa,RKP,32,54.24
Pohjanmaa,Totalseats,59,100.0
Pohjanmaa,SDP,9,15.25
Pohjanmaa,KOK,5,8.47
Pohjanmaa,KD,4,6.78
Pohjanmaa,PS,3,5.08
Pohjanmaa,VAS,2,3.39
Pohjanmaa,KESK,2,3.39
Pohjanmaa,VIHR,2,3.39
Pohjois-Pohjanmaa,KESK,32,40.51
Pohjois-Pohjanmaa,Totalseats,79,100.0
Pohjois-Pohjanmaa,KOK,11,13.92
Pohjois-Pohjanmaa,VAS,11,13.92
Pohjois-Pohjanmaa,SDP,9,11.39
Pohjois-Pohjanmaa,VIHR,8,10.13
Pohjois-Pohjanmaa,PS,7,8.86
Pohjois-Pohjanmaa,KD,1,1.27
Satakunta,SDP,20,28.99
Satakunta,Totalseats,69,100.0
Satakunta,KOK,13,18.84
Satakunta,KESK,13,18.84
Satakunta,PS,9,13.04
Satakunta,VAS,8,11.59
Satakunta,VIHR,4,5.8
Satakunta,KD,2,2.9
Uusimaa,KOK,28,28.28
Uusimaa,Totalseats,99,100.0
Uusimaa,VIHR,21,21.21
Uusimaa,SDP,18,18.18
Uusimaa,RKP,8,8.08
Uusimaa,PS,8,8.08
Uusimaa,VAS,8,8.08
Uusimaa,KESK,5,5.05
Uusimaa,KD,3,3.03
Varsinais-Suomi,KOK,20,25.32
Varsinais-Suomi,Totalseats,79,100.0
Varsinais-Suomi,SDP,16,20.25
Varsinais-Suomi,KESK,11,13.92
Varsinais-Suomi,VIHR,11,13.92
Varsinais-Suomi,VAS,9,11.39
Varsinais-Suomi,PS,6,7.59
Varsinais-Suomi,RKP,4,5.06
Varsinais-Suomi,KD,2,2.53
